City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Max Temp,Wind Speed,lng
0,puerto escondido,5,MX,1542429600,69,15.86,77.0,8.05,-97.07
1,banamba,8,ML,1542433587,56,13.55,69.02,3.94,-7.45
2,qaanaaq,20,GL,1542433587,100,77.48,-10.14,5.39,-69.36
3,richards bay,80,ZA,1542433588,79,-28.77,76.49,13.22,32.06
4,punta arenas,75,CL,1542430800,65,-53.16,41.0,10.29,-70.91
5,mosquera,40,CO,1542430800,87,4.71,53.6,3.36,-74.23
6,hermanus,68,ZA,1542433589,80,-34.42,59.12,0.47,19.24
7,mataura,92,NZ,1542433589,100,-46.19,51.52,13.67,168.86
8,yellowknife,5,CA,1542430800,75,62.45,-14.81,5.82,-114.38
9,bayonet point,1,US,1542432900,93,28.33,59.0,10.2,-82.68
10,rikitea,88,PF,1542433590,96,-23.12,76.27,9.31,-134.97
11,fushe-kruje,75,AL,1542432000,87,41.48,44.6,4.38,19.72
12,bluff,56,AU,1542433591,26,-23.58,94.31,4.72,149.07
13,quatre cocos,40,MU,1542430800,61,-20.21,80.6,9.17,57.76
14,bambous virieux,40,MU,1542430800,61,-20.34,80.6,9.17,57.76
15,christchurch,12,NZ,1542432600,82,-43.53,59.0,9.17,172.64
16,airai,44,TL,1542433592,92,-8.93,76.9,1.59,125.41
17,cape town,20,ZA,1542430800,67,-33.93,62.6,9.17,18.42
18,byron bay,92,AU,1542430800,61,-28.65,78.8,12.75,153.62
19,guerrero negro,24,MX,1542433592,97,27.97,53.95,3.71,-114.04
20,jamestown,0,AU,1542433303,28,-33.21,74.83,9.64,138.6
21,moroni,0,US,1542433593,66,39.52,17.18,1.7,-111.59
22,cabo san lucas,90,MX,1542429600,72,22.89,68.0,3.36,-109.91
23,butaritari,92,KI,1542433594,100,3.07,84.95,15.46,172.79
24,ingham,0,AU,1542433594,84,-18.65,80.68,5.73,146.16
25,georgetown,20,GY,1542430800,100,6.8,75.2,2.24,-58.16
26,annau,90,TM,1542430800,57,37.89,50.0,4.7,58.52
27,castro,76,CL,1542433595,100,-42.48,44.32,3.94,-73.76
28,kaitangata,100,NZ,1542433596,99,-46.28,54.89,6.29,169.85
29,banjar,12,ID,1542433596,52,-7.37,90.13,5.84,108.54
30,albany,90,US,1542431520,67,42.65,39.92,6.93,-73.75
31,ahipara,88,NZ,1542433597,77,-35.17,62.81,3.71,173.16
32,chuy,0,UY,1542433597,90,-33.69,62.45,15.12,-53.46
33,kiama,90,AU,1542430800,59,-34.67,66.2,13.87,150.86
34,ushuaia,40,AR,1542430800,74,-54.81,37.4,14.99,-68.31
35,boffa,44,GN,1542433598,95,10.18,72.89,2.71,-14.04
36,kulhudhuffushi,24,MV,1542433598,100,6.62,79.82,11.43,73.07
37,taltal,24,CL,1542433599,97,-25.41,51.38,1.36,-70.49
38,hohhot,0,CN,1542430800,34,40.81,33.8,11.18,111.65
39,khatanga,64,RU,1542433599,75,71.98,8.05,18.48,102.47
40,longyearbyen,75,NO,1542430200,62,78.22,21.2,10.29,15.63
41,bredasdorp,68,ZA,1542430800,59,-34.53,64.4,6.93,20.04
42,haines junction,68,CA,1542433600,92,60.75,8.05,2.37,-137.51
43,nome,1,US,1542431700,89,30.04,48.92,3.71,-94.42
44,durango,1,US,1542430380,60,37.28,30.92,4.7,-107.88
45,barrow,80,AR,1542433601,64,-38.31,58.4,21.83,-60.23
46,hithadhoo,76,MV,1542433601,100,-0.6,83.06,11.65,73.08
47,buchanan,40,LR,1542430800,94,5.88,75.2,3.6,-10.05
48,pevek,0,RU,1542433603,100,69.7,-9.78,2.93,170.27
49,ous,76,RU,1542433603,89,60.91,29.24,3.94,61.52
50,saint-augustin,0,FR,1542432600,100,44.83,48.2,3.36,-0.61
51,victoria,75,BN,1542432600,79,5.28,87.8,3.36,115.24
52,rio grande,0,BR,1542433604,90,-32.03,68.66,22.73,-52.1
53,sioux lookout,90,CA,1542432240,78,50.1,8.6,8.05,-91.92
54,vardo,90,US,1542431700,67,39.62,42.8,8.05,-77.74
55,sitka,8,US,1542433605,82,37.17,36.22,6.62,-99.65
56,husavik,8,CA,1542433605,87,50.56,11.96,14.23,-96.99
57,tessalit,0,ML,1542433606,44,20.2,60.07,7.96,1.01
58,karachi,0,PK,1542430500,37,24.87,86.0,6.93,67.03
59,salalah,0,OM,1542430200,51,17.01,84.2,5.06,54.1
60,barcelos,0,PT,1542430800,76,41.53,57.2,8.05,-8.62
61,cherskiy,24,RU,1542433607,77,68.75,-17.65,4.38,161.3
62,lufilufi,75,WS,1542430800,83,-13.87,82.4,4.7,-171.6
63,medicine hat,20,CA,1542430800,84,50.04,1.4,3.36,-110.68
64,vestmannaeyjar,92,IS,1542433607,92,63.44,49.04,32.79,-20.27
65,flinders,90,AU,1542430800,59,-34.58,66.2,13.87,150.85
66,ponta do sol,92,BR,1542433608,99,-20.63,67.49,7.63,-46.0
67,lorengau,92,PG,1542433608,100,-2.02,82.07,6.17,147.27
68,nuuk,68,GL,1542430200,79,64.17,24.8,1.12,-51.74
69,east london,75,ZA,1542430800,77,-33.02,66.2,11.41,27.91
70,grindavik,90,IS,1542432600,93,63.84,51.8,38.03,-22.43
71,kirovo-chepetsk,56,RU,1542433610,95,58.54,31.49,12.55,50.03
72,avarua,75,CK,1542430800,88,-21.21,80.6,14.99,-159.78
73,atuona,92,PF,1542433611,100,-9.8,80.99,17.47,-139.03
74,kaihua,100,CN,1542433611,88,29.14,55.34,5.06,118.41
75,kodiak,1,US,1542430380,89,39.95,35.96,8.86,-94.76
76,nikolskoye,75,RU,1542430800,81,59.7,44.6,20.13,30.79
77,guarapari,20,BR,1542430800,88,-20.67,77.0,3.36,-40.5
78,port alfred,0,ZA,1542433613,84,-33.59,66.23,17.69,26.89
79,fernie,90,CA,1542430800,50,49.5,30.2,4.7,-115.06
80,ngunguru,64,NZ,1542433613,94,-35.62,63.13,7.18,174.5
81,busselton,64,AU,1542433615,83,-33.64,70.91,17.69,115.35
82,souillac,90,FR,1542432600,100,45.6,50.0,8.05,-0.6
83,mitsamiouli,40,KM,1542430800,66,-11.38,84.2,12.75,43.28
84,bandarbeyla,24,SO,1542433615,100,9.49,80.27,9.42,50.81
85,itoman,75,JP,1542430800,61,26.12,77.0,11.41,127.67
86,parabel,0,RU,1542433616,74,58.71,0.67,3.49,81.5
87,palimbang,75,PH,1542430800,55,14.9,89.6,9.17,120.78
88,hasaki,75,JP,1542430800,52,35.73,66.2,11.41,140.83
89,torbay,90,CA,1542432360,100,47.66,30.2,31.09,-52.73
90,beyneu,32,KZ,1542433617,95,45.32,26.68,7.85,55.19
91,tuatapere,48,NZ,1542433617,100,-46.13,48.73,12.77,167.69
92,kaitong,20,CN,1542433618,43,44.81,34.78,4.61,123.15
93,tiksi,32,RU,1542433618,77,71.64,-3.84,5.73,128.87
94,veraval,90,FR,1542430800,93,49.65,41.0,14.99,0.71
95,lagoa,75,PT,1542430800,88,37.14,62.6,10.29,-8.45
96,kavieng,64,PG,1542433620,100,-2.57,80.63,4.94,150.8
97,hualmay,48,PE,1542433620,97,-11.1,57.28,5.61,-77.61
98,pacific grove,75,US,1542433140,82,36.62,51.98,4.7,-121.92
99,los llanos de aridane,40,ES,1542432600,60,28.66,71.6,12.75,-17.92
100,naze,24,NG,1542433621,94,5.43,72.71,3.04,7.07
101,port hardy,40,CA,1542430800,100,50.7,41.0,2.24,-127.42
102,new norfolk,75,AU,1542430800,67,-42.78,57.2,19.46,147.06
103,ourem,0,PT,1542430800,87,39.64,57.2,12.75,-8.59
104,qasigiannguit,44,GL,1542430200,79,68.82,21.2,6.93,-51.19
105,gobabis,0,NA,1542433622,23,-22.45,75.37,8.86,18.97
106,tairua,88,NZ,1542433622,50,-37.02,69.02,4.83,175.85
107,mansa,0,IN,1542430800,37,23.43,84.2,3.36,72.66
108,huilong,92,CN,1542433623,100,28.89,48.1,4.05,110.18
